catalogue_no,standard_id,is_number,title,catalogue_year,pdf_found,pdf_filename,pdf_year,status,relative_pdf_path,notes
62,IS11762,11762,Evaporated milk and sweetened condensed milk - Determination of fat : 2008 content - Gravimetric method (Reference method) (second revision),2013,False,,,PENDING,,
63,IS11763,11763,Cheese and processed cheese products - Determination of chloride : 2006 content - Potentiometric titration method (third revision),2011,False,,,PENDING,,
64,IS11764,11764,Sweetened condensed milk - Determination of sucrose content - : 2004 Polarimetric method (first revision),2005,False,,,PENDING,,
65,IS11765,11765,Dried milk - Determination of titratable acidity (Reference method) (first : 2010 revision),2017,False,,,PENDING,,
66,IS11766,11766,Method for determination of titratable acidity in milk powder and similar : 1980 products (Routine method),1986,False,,,PENDING,,
67,IS11888,11888,Caseins and caseinates - Determination of contents of scorched particles : 2003 and of extraneous matter (first revision),2005,False,,,PENDING,,
68,IS11917,11917,Milk and milk products - Determination of nitrogen content - Kjeldahl : 2014 principle and crude protein calculation (first revision),2018,False,,,PENDING,,
69,IS11918,11918,Caseins and caseinates - Determination of pH - Reference Method (first : 2010 revision),2017,False,,,PENDING,,
70,IS11919,11919,Caseins - Determination of fixed ash (Reference method) : 2008,2012,False,,,PENDING,,
71,IS11920,11920,Caseins and caseinates - Determination of moisture content (Reference : 2006 method) (first revision),2012,False,,,PENDING,,
72,IS11962,11962,Rennet caseins and caseinates - Determination of ash (Reference method) : 2008 (first revision),2012,False,,,PENDING,,
73,IS11963,11963,Caseins and caseinates - Determination of lactose content - Photometric : 2004 method (first revision),2005,False,,,PENDING,,
74,IS11964,11964,Caseins - Determination of free acidity (Reference method) (first revision) : 2008,2012,False,,,PENDING,,
75,IS12299,12299,Dairy whitener - Specification (first revision),2021,False,,,PENDING,,
76,IS12333,12333,Milk cream and evaporated milk - Determination of total solids content : 2010 (Reference method) (second revision),2017,False,,,PENDING,,
77,IS12756,12756,Cheese and processed cheese products - Determination of total : 2010 phosphorus content - Molecular absorption spectrometric method (first revision),2019,False,,,PENDING,,
78,IS12757,12757,Cheese and processed cheese products - Determination of citric acid : 2006 content - Enzymatic method (second revision),2012,False,,,PENDING,,
79,IS12758,12758,Cheese and processed cheese products -Determination of fat content - : 2004 Gravimetric method (Reference method) (first revision),2005,False,,,PENDING,,
80,IS12759,12759,Dried milk and dried milk products - Determination of insolubility index : 2005 (first revision),2019,False,,,PENDING,,
81,IS12760,12760,Milk and milk products - Determination of calcium sodium potassium and : 2007 magnesium contents - Atomic absorption spectrometric method (first revision),2012,False,,,PENDING,,
82,IS12898,12898,Dairy products - Yoghurt - Specification (first revision),2022,False,,,PENDING,,
83,IS12899,12899,Dairy products - Yoghurt - Enumeration of specific lactic acid bacteria - Method of test,1989,False,,,PENDING,,
84,IS13334_P1,13334,Skimmed milk powder - Specification Part 1 Standard grade (second revision),2014,False,,,PENDING,,
85,IS13334_P2,13334,Skimmed milk powder - Specification Part 2 Extra grade (first revision),2014,False,,,PENDING,,
86,IS13500,13500,Spray dried milk powders scorched particles - Determination,1992,False,,,PENDING,,
88,IS13689,13689,Butter oil and anhydrous butter oil - Specification (first revision),2021,False,,,PENDING,,
89,IS13690,13690,Butter - Specification (first revision),2021,False,,,PENDING,,
90,IS14433,14433,Infant milk substitutes - Specification (second revision),2022,False,,,PENDING,,
91,IS14542,14542,Partly skimmed milk powder - Specification,1998,False,,,PENDING,,
92,IS15346,15346,Method for sensory evaluation of paneer chhana,2003,False,,,PENDING,,
93,IS15347,15347,Malted milk food - Method for sensory evaluation,2003,False,,,PENDING,,
94,IS15348,15348,Method for sensory evaluation of Shrikhand,2003,False,,,PENDING,,
95,IS15349,15349,Ice cream - Method for sensory evaluation,2003,False,,,PENDING,,
96,IS15757,15757,Infant food - Follow-up formula - Specification (first revision),2022,False,,,PENDING,,
97,IS16072,16072,Determination of moisture content in milk powder and similar products (Routine method),2012,False,,,PENDING,,
98,IS16195,16195,"Milk, milk products and infant formulae - Guidelines for the quantitative : 2010 determination of melamine and cyanuric acid by LC-MS/MS",2014,False,,,PENDING,,
99,IS16326,16326,Ghee - Specification,2015,False,,,PENDING,,
100,IS17945,17945,Food for special medical purpose intended for infants - Specification,2022,False,,,PENDING,,
101,IS18107,18107,Milk and milk products - Method for the enumeration of Pseudomonas : 2009 spp.,2023,False,,,PENDING,,
102,IS18108,18108,Milk and milk powder - Determination of aflatoxin M1 content - Clean- : 2005 up by immunoaffinity chromatography and determinationby thin-layer chromatography,2023,False,,,PENDING,,
103,IS18109,18109,Milk and milk products - Determination of aflatoxin M1 content - : 2003 Guidelines for a standardized description of competitive enzyme immunoassays,2023,False,,,PENDING,,
104,IS18110,18110,Milk and milk powder - Determination of aflatoxin M1 content - Clean- : 2021 up by immunoaffinity chromatography and determination by high- performance liquid chromatography Dairy Equipment,2023,False,,,PENDING,,
105,IS1223,1223,Apparatus for determination of milk fat by Gerber method - Specification (third revision),2001,False,,,PENDING,,
106,IS1825,1825,Specification for aluminium alloy milk cans (second revision),1983,False,,,PENDING,,
107,IS2025,2025,Specification for cylindrical pipettes for bacteriological examination ofmilk,1962,False,,,PENDING,,
108,IS2311,2311,Specification for fat extraction apparatus for milk and milk products (first revision),1973,False,,,PENDING,,
109,IS2336,2336,Specification for stainless steel milk vats,1963,False,,,PENDING,,
110,IS2342,2342,Specification for manually operated milk can washer,1963,False,,,PENDING,,
111,IS2343,2343,Specification for can washing trough,2009,False,,,PENDING,,
112,IS2492,2492,Stainless steel road milk tankers - Specification (second revision),2019,False,,,PENDING,,
113,IS2495,2495,Specification for cheese hoops,1963,False,,,PENDING,,
114,IS2498,2498,Specification for cheese knife,1963,False,,,PENDING,,
115,IS2504,2504,Specification for hand-operated cheese press vertical,1964,False,,,PENDING,,
116,IS2647,2647,Specification for cheese mill,1964,False,,,PENDING,,
117,IS2688,2688,Insulated stainless steel horizontal milk storage tank - Specification (first revision),2009,False,,,PENDING,,
118,IS2689,2689,Stainless steel batch pasteurizer - Specification (first revision),2019,False,,,PENDING,,
119,IS2803,2803,Specification for capillary pipette for direct microscopic count of milk,1964,False,,,PENDING,,
120,IS2829,2829,Steam jacketed ghee pans boilers Stainless Steel - Specification (second revision),2019,False,,,PENDING,,
121,IS3382,3382,Specification for stainless steel milk pipes and fittings,1965,False,,,PENDING,,
122,IS3661,3661,Bulk milk cooling tanks - Specification (second revision),2023,False,,,PENDING,,
123,IS3893,3893,Specification for slides for direct microscopic count of milk,1966,False,,,PENDING,,
124,IS3922,3922,Recommendations for ghee refinery,1966,False,,,PENDING,,
125,IS4743,4743,Settling tanks for ghee - Specification (first revision),2018,False,,,PENDING,,
127,IS5253,5253,Guidelines for cleaning and sterilizing dairy equipment,1969,False,,,PENDING,,
128,IS5567,5567,Specification for bottles for sterilized milk,1970,False,,,PENDING,,
129,IS6591,6591,Rail milk tank vans - Specification (first revision),2023,False,,,PENDING,,
130,IS6684,6684,Specification for milk can trolleys,1972,False,,,PENDING,,
131,IS9585,9585,Lactometers - Specification (first revision),2021,False,,,PENDING,,
132,IS9853,9853,Stainless steel accessories for village milk collection center - Specification (first revision),2018,False,,,PENDING,,
133,IS9854,9854,Code for construction of milk delivery vans (first revision),2018,False,,,PENDING,,
134,IS11585,11585,"Insulated stainless steel silos for milk storage capacity 30, 40, 60, and 100 kilo litres - Specification (first revision)",2009,False,,,PENDING,,
135,IS16440,16440,Stainless steel milk cans - Specification,2016,False,,,PENDING,,
